bear_symbol	bearGeneID	human_symbol	humanGeneID	blastType
ABCC9	gene-ABCC9	ABCC9	gene-ABCC9	RBB
ABCD2	gene-ABCD2	ABCD2	gene-ABCD2	RBB
ABCD3	gene-ABCD3	ABCD3	gene-ABCD3	RBB
ABCD4	gene-ABCD4	ABCD4	gene-ABCD4	RBB
ABCE1	gene-ABCE1	ABCE1	gene-ABCE1	RBB
ABCF1	gene-ABCF1	ABCF1	gene-ABCF1	RBB
ABCF2	gene-ABCF2	ABCF2	gene-ABCF2	RBB
ABCF3	gene-ABCF3	ABCF3	gene-ABCF3	RBB
ABCG1	gene-ABCG1	ABCG1	gene-ABCG1	RBB
ABCG2	gene-ABCG2	ABCG2	gene-ABCG2	RBB
ABCG4	gene-ABCG4	ABCG4	gene-ABCG4	RBB
ABCG5	gene-ABCG5	ABCG5	gene-ABCG5	RBB
ABCG8	gene-ABCG8	ABCG8	gene-ABCG8	RBB
ABHD1	gene-ABHD1	ABHD1	gene-ABHD1	RBB
ABHD10	gene-ABHD10	ABHD10	gene-ABHD10	RBB
ABHD11	gene-ABHD11	ABHD11	gene-ABHD11	RBB
ABHD12B	gene-ABHD12B	ABHD12B	gene-ABHD12B	RBB
ABHD13	gene-ABHD13	ABHD13	gene-ABHD13	RBB
ABHD14A	gene-ABHD14A	ABHD14A	gene-ABHD14A	RBB
ABHD14B	gene-ABHD14B	ABHD14B	gene-ABHD14B	RBB
ABHD15	gene-ABHD15	ABHD15	gene-ABHD15	RBB
ABHD16A	gene-ABHD16A	ABHD16A	gene-ABHD16A	RBB
ABHD16B	gene-ABHD16B	ABHD16B	gene-ABHD16B	RBB
ABHD17B	gene-ABHD17B	ABHD17B	gene-ABHD17B	RBB
ABHD17C	gene-ABHD17C	ABHD17C	gene-ABHD17C	RBB
ABHD18	gene-ABHD18	ABHD18	gene-ABHD18	RBB
ABHD2	gene-ABHD2	ABHD2	gene-ABHD2	RBB
ABHD3	gene-ABHD3	ABHD3	gene-ABHD3	RBB
ABHD4	gene-ABHD4	ABHD4	gene-ABHD4	RBB
ABHD5	gene-ABHD5	ABHD5	gene-ABHD5	RBB
ABHD6	gene-ABHD6	ABHD6	gene-ABHD6	RBB
ABHD8	gene-ABHD8	ABHD8	gene-ABHD8	RBB
ABI1	gene-ABI1	ABI1	gene-ABI1	RBB
ABI2	gene-ABI2	ABI2	gene-ABI2	RBB
ABI3	gene-ABI3	ABI3	gene-ABI3	RBB
ABI3BP	gene-ABI3BP	ABI3BP	gene-ABI3BP	RBB
ABITRAM	gene-ABITRAM	ABITRAM	gene-ABITRAM	RBB
ABL1	gene-ABL1	ABL1	gene-ABL1	RBB
ABL2	gene-ABL2	ABL2	gene-ABL2	RBB
ABLIM1	gene-ABLIM1	ABLIM1	gene-ABLIM1	RBB
ABLIM2	gene-ABLIM2	ABLIM2	gene-ABLIM2	RBB
ABLIM3	gene-ABLIM3	ABLIM3	gene-ABLIM3	RBB
ABR	gene-ABR	ABR	gene-ABR	RBB
ABRA	gene-ABRA	ABRA	gene-ABRA	RBB
ABRACL	gene-ABRACL	ABRACL	gene-ABRACL	RBB
ABRAXAS1	gene-ABRAXAS1	ABRAXAS1	gene-ABRAXAS1	RBB
ABRAXAS2	gene-ABRAXAS2	ABRAXAS2	gene-ABRAXAS2	RBB
ABT1	gene-ABT1	ABT1	gene-ABT1	RBB
ABTB1	gene-ABTB1	ABTB1	gene-ABTB1	RBB
ABTB2	gene-ABTB2	ABTB2	gene-ABTB2	RBB
ABTB3	gene-ABTB3	ABTB3	gene-ABTB3	RBB
ACAA1	gene-ACAA1	ACAA1	gene-ACAA1	RBB
ACAA2	gene-ACAA2	ACAA2	gene-ACAA2	RBB
ACACA	gene-ACACA	ACACA	gene-ACACA	RBB
ACACB	gene-ACACB	ACACB	gene-ACACB	RBB
ACAD10	gene-ACAD10	ACAD10	gene-ACAD10	RBB
ACAD11	gene-ACAD11	ACAD11	gene-ACAD11	RBB
ACAD8	gene-ACAD8	ACAD8	gene-ACAD8	RBB
ACAD9	gene-ACAD9	ACAD9	gene-ACAD9	RBB
ACADL	gene-ACADL	ACADL	gene-ACADL	RBB
ACADM	gene-ACADM	ACADM	gene-ACADM	RBB
ACADS	gene-ACADS	ACADS	gene-ACADS	RBB
ACADSB	gene-ACADSB	ACADSB	gene-ACADSB	RBB
ACAN	gene-ACAN	ACAN	gene-ACAN	RBB
ACAP1	gene-ACAP1	ACAP1	gene-ACAP1	RBB
ACAP2	gene-ACAP2	ACAP2	gene-ACAP2	RBB
ACAP3	gene-ACAP3	ACAP3	gene-ACAP3	RBB
ACAT1	gene-ACAT1	ACAT1	gene-ACAT1	RBB
ACAT2	gene-ACAT2	ACAT2	gene-ACAT2	RBB
ACBD3	gene-ACBD3	ACBD3	gene-ACBD3	RBB
ACBD4	gene-ACBD4	ACBD4	gene-ACBD4	RBB
ACBD5	gene-ACBD5	ACBD5	gene-ACBD5	RBB
ACBD6	gene-ACBD6	ACBD6	gene-ACBD6	RBB
ACBD7	gene-ACBD7	ACBD7	gene-ACBD7	RBB
ACCSL	gene-ACCSL	ACCSL	gene-ACCSL	RBB
ACD	gene-ACD	ACD	gene-ACD	RBB
ACE2	gene-ACE2	ACE2	gene-ACE2	RBB
ACER1	gene-ACER1	ACER1	gene-ACER1	RBB
ACER2	gene-ACER2	ACER2	gene-ACER2	RBB
ACER3	gene-ACER3	ACER3	gene-ACER3	RBB
ACHE	gene-ACHE	ACHE	gene-ACHE	RBB
ACIN1	gene-ACIN1	ACIN1	gene-ACIN1	RBB
ACKR1	gene-ACKR1	ACKR1	gene-ACKR1	RBB
ACKR2	gene-ACKR2	ACKR2	gene-ACKR2	RBB
ACKR3	gene-ACKR3	ACKR3	gene-ACKR3	RBB
ACKR4	gene-ACKR4	ACKR4	gene-ACKR4	RBB
ACLY	gene-ACLY	ACLY	gene-ACLY	RBB
ACMSD	gene-ACMSD	ACMSD	gene-ACMSD	RBB
ACO1	gene-ACO1	ACO1	gene-ACO1	RBB
ACO2	gene-ACO2	ACO2	gene-ACO2	RBB
ACOD1	gene-ACOD1	ACOD1	gene-ACOD1	RBB
ACOT11	gene-ACOT11	ACOT11	gene-ACOT11	RBB
ACOT12	gene-ACOT12	ACOT12	gene-ACOT12	RBB
ACOT13	gene-ACOT13	ACOT13	gene-ACOT13	RBB
ACOT7	gene-ACOT7	ACOT7	gene-ACOT7	RBB
ACOT8	gene-ACOT8	ACOT8	gene-ACOT8	RBB
ACOT9	gene-ACOT9	ACOT9	gene-ACOT9	RBB
ACOX1	gene-ACOX1	ACOX1	gene-ACOX1	RBB
ACOX2	gene-ACOX2	ACOX2	gene-ACOX2	RBB
ACOX3	gene-ACOX3	ACOX3	gene-ACOX3	RBB
ACOXL	gene-ACOXL	ACOXL	gene-ACOXL	RBB
ACP1	gene-ACP1	ACP1	gene-ACP1	RBB
ACP2	gene-ACP2	ACP2	gene-ACP2	RBB
ACP3	gene-ACP3	ACP3	gene-ACP3	RBB
ACP4	gene-ACP4	ACP4	gene-ACP4	RBB
ACP5	gene-ACP5	ACP5	gene-ACP5	RBB
ACP6	gene-ACP6	ACP6	gene-ACP6	RBB
ACP7	gene-ACP7	ACP7	gene-ACP7	RBB
ACR	gene-ACR	ACR	gene-ACR	RBB
ACRBP	gene-ACRBP	ACRBP	gene-ACRBP	RBB
ACRV1	gene-ACRV1	ACRV1	gene-ACRV1	RBB
ACSBG1	gene-ACSBG1	ACSBG1	gene-ACSBG1	RBB
ACSF2	gene-ACSF2	ACSF2	gene-ACSF2	RBB
ACSF3	gene-ACSF3	ACSF3	gene-ACSF3	RBB
ACSL1	gene-ACSL1	ACSL1	gene-ACSL1	RBB
ACSL3	gene-ACSL3	ACSL3	gene-ACSL3	RBB
ACSL4	gene-ACSL4	ACSL4	gene-ACSL4	RBB
ACSL5	gene-ACSL5	ACSL5	gene-ACSL5	RBB
ACSL6	gene-ACSL6	ACSL6	gene-ACSL6	RBB
ACSM1	gene-ACSM1	ACSM1	gene-ACSM1	RBB
ACSM2B	gene-ACSM2B	ACSM2B	gene-ACSM2B	RBB
ACSM5	gene-ACSM5	ACSM5	gene-ACSM5	RBB
ACSS1	gene-ACSS1	ACSS1	gene-ACSS1	RBB
ACSS2	gene-ACSS2	ACSS2	gene-ACSS2	RBB
ACSS3	gene-ACSS3	ACSS3	gene-ACSS3	RBB
ACTA1	gene-ACTA1	ACTA1	gene-ACTA1	RBB
ACTA2	gene-ACTA2	ACTA2	gene-ACTA2	RBB
ACTB	gene-ACTB	ACTB	gene-ACTB	OBB
ACTBL2	gene-ACTBL2	ACTBL2	gene-ACTBL2	RBB
ACTC1	gene-ACTC1	ACTC1	gene-ACTC1	RBB
ACTG1	gene-ACTG1	ACTG1	gene-ACTG1	OBB
ACTG2	gene-ACTG2	ACTG2	gene-ACTG2	RBB
ACTL10	gene-ACTL10	ACTL10	gene-ACTL10	RBB
ACTL6A	gene-ACTL6A	ACTL6A	gene-ACTL6A	RBB
ACTL6B	gene-ACTL6B	ACTL6B	gene-ACTL6B	RBB
ACTL7A	gene-ACTL7A	ACTL7A	gene-ACTL7A	RBB
ACTL7B	gene-ACTL7B	ACTL7B	gene-ACTL7B	RBB
ACTL8	gene-ACTL8	ACTL8	gene-ACTL8	RBB
ACTL9	gene-ACTL9	ACTL9	gene-ACTL9	RBB
ACTMAP	gene-ACTMAP	ACTMAP	gene-ACTMAP	RBB
ACTN1	gene-ACTN1	ACTN1	gene-ACTN1	RBB
ACTN2	gene-ACTN2	ACTN2	gene-ACTN2	RBB
ACTN3	gene-ACTN3	ACTN3	gene-ACTN3	RBB
ACTN4	gene-ACTN4	ACTN4	gene-ACTN4	RBB
ACTR10	gene-ACTR10	ACTR10	gene-ACTR10	RBB
ACTR1A	gene-ACTR1A	ACTR1A	gene-ACTR1A	OBB
ACTR1B	gene-ACTR1B	ACTR1B	gene-ACTR1B	RBB
ACTR2	gene-ACTR2	ACTR2	gene-ACTR2	RBB
ACTR3	gene-ACTR3	ACTR3	gene-ACTR3	RBB
ACTR3B	gene-ACTR3B	ACTR3B	gene-ACTR3B	RBB
ACTR5	gene-ACTR5	ACTR5	gene-ACTR5	RBB
ACTR6	gene-ACTR6	ACTR6	gene-ACTR6	RBB
ACTR8	gene-ACTR8	ACTR8	gene-ACTR8	RBB
ACTRT1	gene-ACTRT1	ACTRT1	gene-ACTRT1	RBB
ACTRT2	gene-ACTRT2	ACTRT2	gene-ACTRT2	RBB
ACTRT3	gene-ACTRT3	ACTRT3	gene-ACTRT3	RBB
ACVR1	gene-ACVR1	ACVR1	gene-ACVR1	RBB
ACVR1B	gene-ACVR1B	ACVR1B	gene-ACVR1B	RBB
ACVR1C	gene-ACVR1C	ACVR1C	gene-ACVR1C	RBB
ACVR2A	gene-ACVR2A	ACVR2A	gene-ACVR2A	RBB
ACVR2B	gene-ACVR2B	ACVR2B	gene-ACVR2B	RBB
ACVRL1	gene-ACVRL1	ACVRL1	gene-ACVRL1	RBB
ACY1	gene-ACY1	ACY1	gene-ACY1	RBB
ACYP1	gene-ACYP1	ACYP1	gene-ACYP1	RBB
ACYP2	gene-ACYP2	ENOSF1	gene-ENOSF1	OBB
ADA	gene-ADA	ADA	gene-ADA	RBB
ADA2	gene-ADA2	ADA2	gene-ADA2	RBB
ADAD1	gene-ADAD1	ADAD1	gene-ADAD1	RBB
ADAD2	gene-ADAD2	ADAD2	gene-ADAD2	RBB
ADAL	gene-ADAL	MAPDA	gene-MAPDA	RBB
ADAM10	gene-ADAM10	ADAM10	gene-ADAM10	RBB
ADAM11	gene-ADAM11	ADAM11	gene-ADAM11	RBB
ADAM12	gene-ADAM12	ADAM12	gene-ADAM12	RBB
ADAM15	gene-ADAM15	ADAM15	gene-ADAM15	RBB
ADAM17	gene-ADAM17	ADAM17	gene-ADAM17	RBB
ADAM19	gene-ADAM19	ADAM19	gene-ADAM19	RBB
ADAM2	gene-ADAM2	ADAM2	gene-ADAM2	RBB
ADAM20	gene-ADAM20	ADAM20	gene-ADAM20	RBB
ADAM21	gene-ADAM21	ADAM21	gene-ADAM21	RBB
ADAM22	gene-ADAM22	ADAM22	gene-ADAM22	RBB
ADAM23	gene-ADAM23	ADAM23	gene-ADAM23	RBB
ADAM28	gene-ADAM28	ADAM28	gene-ADAM28	RBB
ADAM29	gene-ADAM29	ADAM29	gene-ADAM29	RBB
ADAM30	gene-ADAM30	ADAM30	gene-ADAM30	RBB
ADAM32	gene-ADAM32	ADAM32	gene-ADAM32-2	RBB
ADAM33	gene-ADAM33	ADAM33	gene-ADAM33	RBB
ADAM7	gene-ADAM7	ADAM7	gene-ADAM7	RBB
ADAM8	gene-ADAM8	ADAM8	gene-ADAM8	RBB
ADAM9	gene-ADAM9	ADAM9	gene-ADAM9	RBB
ADAMDEC1	gene-ADAMDEC1	ADAMDEC1	gene-ADAMDEC1	RBB
ADAMTS1	gene-ADAMTS1	ADAMTS1	gene-ADAMTS1	RBB
ADAMTS10	gene-ADAMTS10	ADAMTS10	gene-ADAMTS10	RBB
ADAMTS12	gene-ADAMTS12	ADAMTS12	gene-ADAMTS12	RBB
ADAMTS13	gene-ADAMTS13	ADAMTS13	gene-ADAMTS13	RBB
ADAMTS14	gene-ADAMTS14	ADAMTS14	gene-ADAMTS14	RBB
ADAMTS15	gene-ADAMTS15	ADAMTS15	gene-ADAMTS15	RBB
ADAMTS16	gene-ADAMTS16	ADAMTS16	gene-ADAMTS16	RBB
ADAMTS17	gene-ADAMTS17	ADAMTS17	gene-ADAMTS17	RBB
ADAMTS18	gene-ADAMTS18	ADAMTS18	gene-ADAMTS18	RBB
ADAMTS19	gene-ADAMTS19	ADAMTS19	gene-ADAMTS19	RBB
ADAMTS2	gene-ADAMTS2	ADAMTS2	gene-ADAMTS2	RBB
ADAMTS20	gene-ADAMTS20	ADAMTS20	gene-ADAMTS20	RBB
ADAMTS3	gene-ADAMTS3	ADAMTS3	gene-ADAMTS3	RBB
ADAMTS4	gene-ADAMTS4	ADAMTS4	gene-ADAMTS4	RBB
ADAMTS5	gene-ADAMTS5	ADAMTS5	gene-ADAMTS5	RBB
ADAMTS6	gene-ADAMTS6	ADAMTS6	gene-ADAMTS6	RBB
ADAMTS7	gene-ADAMTS7	ADAMTS7	gene-ADAMTS7	RBB
ADAMTS8	gene-ADAMTS8	ADAMTS8	gene-ADAMTS8	RBB
ADAMTS9	gene-ADAMTS9	ADAMTS9	gene-ADAMTS9	RBB
ADAMTSL1	gene-ADAMTSL1	ADAMTSL1	gene-ADAMTSL1	RBB
ADAMTSL2	gene-ADAMTSL2	ADAMTSL2	gene-ADAMTSL2	RBB
ADAMTSL3	gene-ADAMTSL3	ADAMTSL3	gene-ADAMTSL3	RBB
ADAMTSL4	gene-ADAMTSL4	ADAMTSL4	gene-ADAMTSL4	RBB
ADAMTSL5	gene-ADAMTSL5	ADAMTSL5	gene-ADAMTSL5	RBB
ADAP1	gene-ADAP1	ADAP1	gene-ADAP1	RBB
ADAP2	gene-ADAP2	ADAP2	gene-ADAP2	RBB
ADAR	gene-ADAR	ADAR	gene-ADAR	RBB
ADARB1	gene-ADARB1	ADARB1	gene-ADARB1	RBB
ADARB2	gene-ADARB2	ADARB2	gene-ADARB2	RBB
ADAT1	gene-ADAT1	ADAT1	gene-ADAT1	RBB
ADAT2	gene-ADAT2	ADAT2	gene-ADAT2	RBB
ADCK1	gene-ADCK1	ADCK1	gene-ADCK1	RBB
ADCK2	gene-ADCK2	ADCK2	gene-ADCK2	RBB
ADCK5	gene-ADCK5	ADCK5	gene-ADCK5	RBB
ADCY1	gene-ADCY1	ADCY1	gene-ADCY1	RBB
ADCY10	gene-ADCY10	ADCY10	gene-ADCY10	RBB
ADCY2	gene-ADCY2	ADCY2	gene-ADCY2	RBB
ADCY3	gene-ADCY3	ADCY3	gene-ADCY3	RBB
ADCY4	gene-ADCY4	ADCY4	gene-ADCY4	RBB
ADCY5	gene-ADCY5	ADCY5	gene-ADCY5	RBB
ADCY6	gene-ADCY6	ADCY6	gene-ADCY6	RBB
ADCY7	gene-ADCY7	ADCY7	gene-ADCY7	RBB
ADCY8	gene-ADCY8	ADCY8	gene-ADCY8	RBB
ADCY9	gene-ADCY9	ADCY9	gene-ADCY9	RBB
ADCYAP1	gene-ADCYAP1	ADCYAP1	gene-ADCYAP1	RBB
ADCYAP1R1	gene-ADCYAP1R1	ADCYAP1R1	gene-ADCYAP1R1	RBB
ADD1	gene-ADD1	ADD1	gene-ADD1	RBB
ADD2	gene-ADD2	ADD2	gene-ADD2	RBB
ADD3	gene-ADD3	ADD3	gene-ADD3	RBB
ADGB	gene-ADGB	ADGB	gene-ADGB	RBB
ADGRA1	gene-ADGRA1	ADGRA1	gene-ADGRA1	RBB
ADGRA2	gene-ADGRA2	ADGRA2	gene-ADGRA2	RBB
ADGRA3	gene-ADGRA3	ADGRA3	gene-ADGRA3	RBB
ADGRB1	gene-ADGRB1	ADGRB1	gene-ADGRB1	RBB
ADGRB2	gene-ADGRB2	ADGRB2	gene-ADGRB2	RBB
ADGRB3	gene-ADGRB3	ADGRB3	gene-ADGRB3	RBB
ADGRD1	gene-ADGRD1	ADGRD1	gene-ADGRD1	RBB
ADGRD2	gene-ADGRD2	ADGRD2	gene-ADGRD2	RBB
ADGRE1	gene-ADGRE1	ADGRE1	gene-ADGRE1	RBB
ADGRE2	gene-ADGRE2	ADGRE2	gene-ADGRE2	RBB
ADGRE3	gene-ADGRE3	ADGRE3	gene-ADGRE3	RBB
ADGRE5	gene-ADGRE5	ADGRE5	gene-ADGRE5	RBB
ADGRF1	gene-ADGRF1	ADGRF1	gene-ADGRF1	RBB
ADGRF3	gene-ADGRF3	ADGRF3	gene-ADGRF3	RBB
ADGRF5	gene-ADGRF5	ADGRF5	gene-ADGRF5	RBB
ADGRG1	gene-ADGRG1	ADGRG1	gene-ADGRG1	RBB
ADGRG2	gene-ADGRG2	ADGRG2	gene-ADGRG2	RBB
ADGRG3	gene-ADGRG3	ADGRG3	gene-ADGRG3	RBB
ADGRG4	gene-ADGRG4	ADGRG4	gene-ADGRG4	RBB
ADGRG5	gene-ADGRG5	ADGRG5	gene-ADGRG5	RBB
ADGRG6	gene-ADGRG6	ADGRG6	gene-ADGRG6	RBB
ADGRG7	gene-ADGRG7	ADGRG7	gene-ADGRG7	RBB
ADGRL1	gene-ADGRL1	ADGRL1	gene-ADGRL1	RBB
ADGRL2	gene-ADGRL2	ADGRL2	gene-ADGRL2	RBB
ADGRL3	gene-ADGRL3	ADGRL3	gene-ADGRL3	RBB
ADGRL4	gene-ADGRL4	ADGRL4	gene-ADGRL4	RBB
ADGRV1	gene-ADGRV1	ADGRV1	gene-ADGRV1	RBB
ADH4	gene-ADH4	ADH4	gene-ADH4	RBB
ADH5	gene-ADH5	ADH5	gene-ADH5	RBB
ADH6	gene-ADH6	ADH6	gene-ADH6	RBB
ADHFE1	gene-ADHFE1	ADHFE1	gene-ADHFE1	RBB
ADI1	gene-ADI1	ADI1	gene-ADI1	RBB
ADIG	gene-ADIG	ADIG	gene-ADIG	RBB
ADIPOQ	gene-ADIPOQ	ADIPOQ	gene-ADIPOQ	RBB
ADIPOR1	gene-ADIPOR1	ADIPOR1	gene-ADIPOR1	RBB
ADIPOR2	gene-ADIPOR2	ADIPOR2	gene-ADIPOR2	RBB
ADIRF	gene-ADIRF	ADIRF	gene-ADIRF	RBB
ADISSP	gene-ADISSP	ADISSP	gene-ADISSP	RBB
ADK	gene-ADK	ADK	gene-ADK	RBB
ADM	gene-ADM	ADM	gene-ADM	RBB
ADM5	gene-ADM5	ADM5	gene-ADM5	RBB
ADNP	gene-ADNP	ADNP	gene-ADNP	RBB
ADNP2	gene-ADNP2	ADNP2	gene-ADNP2	RBB
ADO	gene-ADO	ADO	gene-ADO	RBB
ADORA1	gene-ADORA1	ADORA1	gene-ADORA1	RBB
ADORA2A	gene-ADORA2A	ADORA2A	gene-ADORA2A	RBB
ADORA2B	gene-ADORA2B	ADORA2B	gene-ADORA2B	RBB
ADPGK	gene-ADPGK	ADPGK	gene-ADPGK	RBB
ADPRH	gene-ADPRH	ADPRH	gene-ADPRH	RBB
ADPRM	gene-ADPRM	ADPRM	gene-ADPRM	RBB
ADPRS	gene-ADPRS	ADPRS	gene-ADPRS	RBB
ADRA1A	gene-ADRA1A	ADRA1A	gene-ADRA1A	RBB
ADRA1B	gene-ADRA1B	ADRA1B	gene-ADRA1B	RBB
ADRA1D	gene-ADRA1D	ADRA1D	gene-ADRA1D	RBB
ADRA2A	gene-ADRA2A	ADRA2A	gene-ADRA2A	RBB
ADRA2B	gene-ADRA2B	ADRA2B	gene-ADRA2B	RBB
ADRA2C	gene-ADRA2C	ADRA2C	gene-ADRA2C	RBB
ADRB1	gene-ADRB1	ADRB1	gene-ADRB1	RBB
ADRB2	gene-ADRB2	ADRB2	gene-ADRB2	RBB
ADRB3	gene-ADRB3	ADRB3	gene-ADRB3	RBB
ADSL	gene-ADSL	ADSL	gene-ADSL	RBB
ADSS1	gene-ADSS1	ADSS1	gene-ADSS1	RBB
ADSS2	gene-ADSS2	ADSS2	gene-ADSS2	RBB
ADTRP	gene-ADTRP	ADTRP	gene-ADTRP	RBB
AEBP1	gene-AEBP1	AEBP1	gene-AEBP1	RBB
AEBP2	gene-AEBP2	AEBP2	gene-AEBP2	RBB
AEN	gene-AEN	AEN	gene-AEN	RBB
AFAP1	gene-AFAP1	AFAP1	gene-AFAP1	RBB
AFAP1L1	gene-AFAP1L1	AFAP1L1	gene-AFAP1L1	RBB
AFAP1L2	gene-AFAP1L2	AFAP1L2	gene-AFAP1L2	RBB
AFDN	gene-AFDN	AFDN	gene-AFDN	RBB
AFF1	gene-AFF1	AFF1	gene-AFF1	RBB
AFF2	gene-AFF2	AFF2	gene-AFF2	RBB
AFF3	gene-AFF3	AFF3	gene-AFF3	RBB
AFF4	gene-AFF4	AFF4	gene-AFF4	RBB
AFG1L	gene-AFG1L	AFG1L	gene-AFG1L	RBB
AFG2A	gene-AFG2A	AFG2A	gene-AFG2A	RBB
AFG2B	gene-AFG2B	AFG2B	gene-AFG2B	RBB
AFG3L2	gene-AFG3L2	AFG3L2	gene-AFG3L2	RBB
AFM	gene-AFM	AFM	gene-AFM	RBB
AFMID	gene-AFMID	AFMID	gene-AFMID	RBB
AFP	gene-AFP	AFP	gene-AFP	RBB
AFTPH	gene-AFTPH	AFTPH	gene-AFTPH	RBB
AGA	gene-AGA	AGA	gene-AGA	RBB
AGAP1	gene-AGAP1	AGAP1	gene-AGAP1	RBB
AGAP2	gene-AGAP2	AGAP2	gene-AGAP2	RBB
AGAP3	gene-AGAP3	AGAP3	gene-AGAP3	RBB
AGBL1	gene-AGBL1	AGBL1	gene-AGBL1	RBB
AGBL2	gene-AGBL2	AGBL2	gene-AGBL2	RBB
AGBL3	gene-AGBL3	AGBL3	gene-AGBL3	RBB
AGBL5	gene-AGBL5	AGBL5	gene-AGBL5	RBB
AGER	gene-AGER	AGER	gene-AGER	RBB
AGFG1	gene-AGFG1	AGFG1	gene-AGFG1	RBB
AGFG2	gene-AGFG2	AGFG2	gene-AGFG2	RBB
AGGF1	gene-AGGF1	AGGF1	gene-AGGF1	RBB
AGK	gene-AGK	AGK	gene-AGK	RBB
AGL	gene-AGL	AGL	gene-AGL	RBB
AGMAT	gene-AGMAT	AGMAT	gene-AGMAT	RBB
AGMO	gene-AGMO	AGMO	gene-AGMO	RBB
AGO1	gene-AGO1	AGO1	gene-AGO1	RBB
AGO2	gene-AGO2	AGO2	gene-AGO2	RBB
AGO3	gene-AGO3	AGO3	gene-AGO3	RBB
AGPAT1	gene-AGPAT1	AGPAT1	gene-AGPAT1	RBB
AGPAT2	gene-AGPAT2	AGPAT2	gene-AGPAT2	RBB
AGPAT3	gene-AGPAT3	AGPAT3	gene-AGPAT3	RBB
AGPAT4	gene-AGPAT4	AGPAT4	gene-AGPAT4	RBB
AGPAT5	gene-AGPAT5	AGPAT5	gene-AGPAT5	RBB
AGPS	gene-AGPS	AGPS	gene-AGPS	RBB
AGR2	gene-AGR2	AGR2	gene-AGR2	RBB
