Geneid,Length
NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1;NW_026622974.1,18866
130542012:gene-LOC130542012:LOC130542012,8172
113261327:nbis-pseudogene-1734:LOC113261327,743
113261162:nbis-pseudogene-1729:LOC113261162,900
113261160:gene-BEND6:BEND6,1940
113261159:gene-KIAA1586:KIAA1586,14063
113261158:gene-ZNF451:ZNF451,16172
123001483:gene-LOC123001483:LOC123001483,486
113261157:gene-BAG2:BAG2,1083
113261155:gene-RAB23:RAB23,5200
113261153:gene-PRIM2:PRIM2,2578
113261326:nbis-pseudogene-1733:LOC113261326,1287
113261356:nbis-pseudogene-1749:LOC113261356,858
123001482:gene-KHDRBS2:KHDRBS2,2331
130541993:nbis-pseudogene-3350:LOC130541993,1286
113261010:nbis-pseudogene-1720:LOC113261010,1374
113261152:gene-LGSN:LGSN,1827
113261394:gene-LOC113261394:LOC113261394,107
130541998:gene-LOC130541998:LOC130541998,342
113261150:gene-PTP4A1:PTP4A1,1843
113261352:nbis-pseudogene-1748:LOC113261352,445
123001493:gene-TRNAK-UUU-14:TRNAK-UUU,73
113261149:gene-LOC113261149:LOC113261149,876
113261148:gene-PHF3:PHF3,7987
113261351:gene-EYS:EYS,11930
113261046:gene-LOC113261046:LOC113261046,428
113261147:nbis-pseudogene-1728:LOC113261147,390
113261350:nbis-pseudogene-1747:LOC113261350,1833
113261386:gene-LOC113261386:LOC113261386,182
113261008:nbis-pseudogene-1719:LOC113261008,924
113261007:nbis-pseudogene-1718:LOC113261007,691
113261349:nbis-pseudogene-1746:LOC113261349,1688
113261145:gene-LOC113261145:LOC113261145,1786
113261146:gene-LOC113261146:LOC113261146,3313
113261144:gene-LOC113261144:LOC113261144,3460
113261348:nbis-pseudogene-1745:LOC113261348,1034
125282820:nbis-pseudogene-3227:LOC125282820,2780
113261140:gene-ADGRB3:ADGRB3,6115
113261142:gene-LOC113261142:LOC113261142,4133
113261371:gene-LOC113261371:LOC113261371,110
123001471:gene-LOC123001471:LOC123001471,1102
113261139:gene-LMBRD1:LMBRD1,2306
113261346:gene-COL19A1:COL19A1,3759
113261138:gene-COL9A1:COL9A1,2775
113261136:gene-FAM135A:FAM135A,6776
113261135:gene-SDHAF4:SDHAF4,4068
113261134:gene-LOC113261134:LOC113261134,6578
113261130:gene-SMAP1:SMAP1,2489
113261131:gene-B3GAT2:B3GAT2,1313
113261345:nbis-pseudogene-1744:LOC113261345,1468
113261127:gene-OGFRL1:OGFRL1,8456
113261125:gene-LOC113261125:LOC113261125,10005
113261120:gene-RIMS1:RIMS1,8786
113261124:nbis-pseudogene-1727:LOC113261124,1056
123001481:nbis-pseudogene-2911:LOC123001481,10191
113261123:nbis-pseudogene-1726:LOC113261123,802
113261119:gene-KCNQ5:KCNQ5,7683
113261387:nbis-pseudogene-1755:LOC113261387,99
113261006:gene-DPPA5:DPPA5,351
113261344:gene-KHDC3L:KHDC3L,1077
113261343:nbis-pseudogene-1743:LOC113261343,459
113261005:gene-OOEP:OOEP,2440
113261118:gene-DDX43:DDX43,1950
113261342:gene-LOC113261342:LOC113261342,547
113261117:gene-CGAS:CGAS,2892
113261392:gene-LOC113261392:LOC113261392,104
113261116:gene-MTO1:MTO1,2596
113261115:gene-EEF1A1:EEF1A1,2864
113261114:gene-LOC113261114:LOC113261114,6643
113261113:gene-SLC17A5:SLC17A5,2813
113261112:gene-CD109:CD109,8941
113261341:nbis-pseudogene-1742:LOC113261341,998
125282827:gene-LOC125282827:LOC125282827,513
130541997:gene-LOC130541997:LOC130541997,3964
113261111:gene-COL12A1:COL12A1,11929
113261110:gene-LOC113261110:LOC113261110,501
113261109:gene-TMEM30A:TMEM30A,3882
125282828:gene-LOC125282828:LOC125282828,3674
113261108:gene-FILIP1:FILIP1,10584
130541994:gene-LOC130541994:LOC130541994,1214
113261106:gene-SENP6:SENP6,4446
113261379:gene-LOC113261379:LOC113261379,102
113261104:gene-MYO6:MYO6,6142
113261105:gene-LOC113261105:LOC113261105,462
113261103:gene-IMPG1:IMPG1,2232
113261004:nbis-pseudogene-1717:LOC113261004,1823
113261340:nbis-pseudogene-1741:LOC113261340,1179
113261339:nbis-pseudogene-1740:LOC113261339,1262
113261002:nbis-pseudogene-1716:LOC113261002,896
113261001:nbis-pseudogene-1715:LOC113261001,527
113261102:gene-HTR1B:HTR1B,4379
113261377:gene-LOC113261377:LOC113261377,106
113261101:gene-MEI4:MEI4,1173
113261100:nbis-pseudogene-1725:LOC113261100,1043
130542002:nbis-pseudogene-3351:LOC130542002,658
113261000:nbis-pseudogene-1714:LOC113261000,986
113261098:gene-LOC113261098:LOC113261098,1361
113260999:nbis-pseudogene-1713:LOC113260999,938
113261097:gene-LOC113261097:LOC113261097,2942
113261373:gene-LOC113261373:LOC113261373,106
113261336:nbis-pseudogene-1739:LOC113261336,410
130541992:gene-LOC130541992:LOC130541992,770
123001479:nbis-pseudogene-2910:LOC123001479,1284
113261381:nbis-pseudogene-1754:LOC113261381,113
113261095:nbis-pseudogene-1724:LOC113261095,1151
113261094:gene-IRAK1BP1:IRAK1BP1,6878
113261335:gene-LOC113261335:LOC113261335,2919
113261091:gene-PHIP:PHIP,10574
130542013:nbis-pseudogene-3352:LOC130542013,2939
113261376:gene-LOC113261376:LOC113261376,110
113261087:gene-HMGN3:HMGN3,1397
130542014:gene-LOC130542014:LOC130542014,4928
113261368:gene-LOC113261368:LOC113261368,107
113261086:gene-LCA5:LCA5,4363
113261084:gene-SH3BGRL2:SH3BGRL2,5985
113261334:nbis-pseudogene-1738:LOC113261334,1495
113260997:nbis-pseudogene-1712:LOC113260997,1527
113261082:gene-ELOVL4:ELOVL4,3620
113261080:gene-TTK:TTK,3208
113261081:gene-LOC113261081:LOC113261081,1545
123001478:nbis-pseudogene-2909:LOC123001478,500
113261078:gene-BCKDHB:BCKDHB,16348
130541996:gene-LOC130541996:LOC130541996,2003
123001470:nbis-pseudogene-2907:LOC123001470,17876
123001477:gene-LOC123001477:LOC123001477,3095
113261074:gene-LOC113261074:LOC113261074,8680
113261367:gene-LOC113261367:LOC113261367,107
113261073:gene-TENT5A:TENT5A,5685
113261070:gene-IBTK:IBTK,5738
113260995:nbis-pseudogene-1711:LOC113260995,561
113261069:gene-TPBG:TPBG,3154
113260994:nbis-pseudogene-1710:LOC113260994,912
113261333:nbis-pseudogene-1737:LOC113261333,705
113261332:nbis-pseudogene-1736:LOC113261332,958
113261067:gene-UBE3D:UBE3D,23769
123001475:nbis-pseudogene-2908:LOC123001475,311
113261064:gene-DOP1A:DOP1A,19505
113261065:gene-PGM3:PGM3,2112
113261063:gene-RWDD2A:RWDD2A,3540
113261331:gene-ME1:ME1,3777
113261062:nbis-pseudogene-1723:LOC113261062,1031
130541999:gene-LOC130541999:LOC130541999,1969
113261060:gene-PRSS35:PRSS35,3325
113261058:gene-SNAP91:SNAP91,4662
113261329:gene-RIPPLY2:RIPPLY2,701
113261057:gene-LOC113261057:LOC113261057,2242
113260993:gene-MRAP2:MRAP2,1736
113261056:gene-CEP162:CEP162,6075
130542019:nbis-pseudogene-3353:LOC130542019,114
113261054:gene-TBX18:TBX18,4543
113261053:gene-LOC113261053:LOC113261053,12448
125282825:gene-LOC125282825:LOC125282825,2316
113261050:gene-NT5E:NT5E,7120
130541995:gene-LOC130541995:LOC130541995,2122
113261049:gene-SNX14:SNX14,11003
113261048:gene-SYNCRIP:SYNCRIP,9012
113261370:gene-LOC113261370:LOC113261370,107
113261047:gene-LOC113261047:LOC113261047,13658
113261388:gene-LOC113261388:LOC113261388,71
113261389:gene-LOC113261389:LOC113261389,70
130542854:nbis-pseudogene-3419:LOC130542854,996
113260357:gene-LOC113260357:LOC113260357,984
130542857:gene-LOC130542857:LOC130542857,7901
113260363:gene-LOC113260363:LOC113260363,3264
130542858:gene-LOC130542858:LOC130542858,960
113260368:gene-LOC113260368:LOC113260368,921
130542856:gene-LOC130542856:LOC130542856,4678
113260362:gene-LOC113260362:LOC113260362,1540
130542855:gene-LOC130542855:LOC130542855,1856
130543297:gene-LOC130543297:LOC130543297,3216
113260318:gene-LOC113260318:LOC113260318,6118
113260311:nbis-pseudogene-1644:LOC113260311,567
